id,year,job_role,experience_level,industry,location,skills,num_skills,salary_usd,automation_risk,demand_index,avg_skill_trend_score,experience_ord,salary_tier,risk_label,skill_count,future_proof,salary_vs_median,role_encoded,exp_encoded
431,2025,SEO Specialist,Entry,Education,UAE,Manual Testing|Copy-Paste Reporting|Legacy VBA,3,54986.0,0.98,156.3,1.93,1,Low,Critical Risk,3,0,0.502,19,1
432,2025,Excel Analyst,Principal,Government,Canada,Crystal Reports|Legacy VBA|Machine Learning|SQL|Power BI,5,213262.0,0.98,138.9,5.72,5,High,Critical Risk,5,0,0.834,11,5
433,2024,Cloud Architect,Principal,Tech,USA,dbt|Manual Testing|Copy-Paste Reporting|Cold Calling|Tableau,5,339732.0,0.98,152.8,4.38,5,Elite,Critical Risk,5,0,1.328,4,5
434,2024,Operations Analyst,Senior,Energy,Netherlands,Cold Calling|MS Access|dbt|Prompt Engineering,4,161020.0,0.98,137.4,5.5,3,Mid,Critical Risk,4,0,0.828,16,3
435,2024,Data Scientist,Mid,Healthcare,Netherlands,SQL|Machine Learning|Power BI,3,170125.0,0.05,126.6,8.27,2,Mid,Low Risk,3,1,1.144,8,2
436,2021,Data Engineer,Mid,Energy,Germany,MLOps|Tableau|Crystal Reports,3,157207.0,0.551,122.7,6.13,2,Mid,High Risk,3,0,1.057,7,2
437,2019,Data Engineer,Senior,Energy,USA,Statistics|COBOL|Excel (Basic)|R|Vector Databases,5,219929.0,0.644,99.9,5.54,3,High,High Risk,5,0,1.131,7,3
438,2024,Cloud Architect,Principal,Retail,India,COBOL|A/B Testing|LLMs/GenAI,3,380738.0,0.347,133.6,6.3,5,Elite,Moderate Risk,3,0,1.489,4,5
439,2023,Software Developer,Entry,Education,Canada,Legacy VBA|MLOps|Vector Databases|Prompt Engineering,4,142364.0,0.361,111.4,7.35,1,Mid,Moderate Risk,4,0,1.3,21,1
440,2025,Accountant,Principal,Consulting,Netherlands,Cloud (AWS/GCP)|Legacy VBA|Vector Databases,3,231348.0,0.98,137.8,6.7,5,High,Critical Risk,3,0,0.905,1,5
441,2024,Accountant,Principal,Retail,USA,SQL|COBOL|Cloud (AWS/GCP)|Kubernetes|R,5,257458.0,0.821,145.8,6.46,5,Elite,Critical Risk,5,0,1.007,1,5
442,2019,Content Strategist,Senior,Media,Netherlands,Statistics|Machine Learning|Prompt Engineering|Data Entry|dbt|MLOps,6,207832.0,0.462,90.1,7.53,3,High,Moderate Risk,6,0,1.069,5,3
443,2019,BI Developer,Principal,Media,USA,dbt|Legacy VBA|Data Entry,3,176203.0,0.98,94.0,4.0,5,Mid,Critical Risk,3,0,0.689,2,5
444,2025,Supply Chain Analyst,Lead,Finance,Canada,Data Entry|Basic SEO|Deep Learning|MS Access|Legacy VBA|Spark/PySpark,6,225812.0,0.98,119.5,4.42,4,High,Critical Risk,6,0,0.982,23,4
445,2024,Cloud Architect,Entry,Finance,UK,LLMs/GenAI|COBOL|Kubernetes,3,160932.0,0.33,138.6,6.37,1,Mid,Moderate Risk,3,0,1.47,4,1
446,2023,Excel Analyst,Senior,Government,Singapore,Data Entry|SQL|Power BI|MLOps|Python|Basic SEO,6,167769.0,0.98,113.4,6.33,3,Mid,Critical Risk,6,0,0.863,11,3
447,2023,Data Analyst,Principal,Finance,Brazil,Crystal Reports|Copy-Paste Reporting|Deep Learning,3,197049.0,0.98,123.1,3.97,5,High,Critical Risk,3,0,0.77,6,5
448,2023,Machine Learning Engineer,Senior,Manufacturing,Brazil,Prompt Engineering|Cold Calling|Tableau,3,236680.0,0.603,129.2,6.3,3,High,High Risk,3,0,1.217,15,3
449,2025,Supply Chain Analyst,Entry,Consulting,India,Spark/PySpark|MS Access|SQL|COBOL,4,96172.0,0.98,147.1,4.9,1,Low,Critical Risk,4,0,0.878,23,1
450,2023,AI Engineer,Mid,Manufacturing,Australia,R|Copy-Paste Reporting|Spark/PySpark,3,193871.0,0.869,111.8,5.4,2,High,Critical Risk,3,0,1.304,0,2
451,2019,Financial Analyst,Principal,Government,Netherlands,Prompt Engineering|dbt|MS Access,3,204749.0,0.566,102.7,6.67,5,High,High Risk,3,0,0.801,12,5
452,2024,DevOps Engineer,Mid,Government,Netherlands,LLMs/GenAI|Airflow|Manual Testing|Basic SEO,4,185483.0,0.968,109.7,5.98,2,High,Critical Risk,4,0,1.247,9,2
453,2019,BI Developer,Principal,Tech,Netherlands,Data Entry|R|Deep Learning|Prompt Engineering|Legacy VBA|COBOL,6,257368.0,0.98,92.6,4.93,5,Elite,Critical Risk,6,0,1.006,2,5
454,2020,Product Manager,Principal,Consulting,Australia,Spark/PySpark|Legacy VBA|Data Entry|Airflow|Cloud (AWS/GCP),5,317334.0,0.98,107.7,5.9,5,Elite,Critical Risk,5,0,1.241,17,5
455,2019,SQL Developer,Senior,Consulting,UAE,Manual Testing|Legacy VBA|Prompt Engineering|Crystal Reports|Excel (Basic),5,134497.0,0.98,106.0,3.88,3,Mid,Critical Risk,5,0,0.692,20,3
456,2023,DevOps Engineer,Senior,Government,India,MLOps|Airflow|COBOL,3,222287.0,0.419,112.2,6.17,3,High,Moderate Risk,3,0,1.143,9,3
457,2024,HR Analyst,Lead,Manufacturing,Australia,Legacy VBA|MS Access|MLOps|Statistics,4,173030.0,0.98,132.3,5.15,4,Mid,Critical Risk,4,0,0.752,13,4
458,2021,AI Engineer,Lead,Media,UK,Data Entry|Manual Testing|Deep Learning|Basic SEO,4,294184.0,0.98,101.5,4.1,4,Elite,Critical Risk,4,0,1.279,0,4
459,2025,Data Engineer,Principal,Retail,Germany,MS Access|Deep Learning|Python,3,353045.0,0.434,159.6,6.83,5,Elite,Moderate Risk,3,0,1.38,7,5
460,2024,Data Analyst,Principal,Energy,Singapore,Machine Learning|R|Kubernetes|Statistics,4,276549.0,0.05,151.8,7.88,5,Elite,Low Risk,4,1,1.081,6,5
461,2020,DevOps Engineer,Lead,Retail,Brazil,Spark/PySpark|Tableau|A/B Testing|Deep Learning|SQL,5,310812.0,0.05,116.4,8.16,4,Elite,Low Risk,5,1,1.351,9,4
462,2019,Supply Chain Analyst,Mid,Energy,India,Tableau|LLMs/GenAI|Excel (Basic)|Legacy VBA,4,112971.0,0.98,101.5,5.72,2,Low,Critical Risk,4,0,0.76,23,2
463,2020,Product Manager,Lead,Education,USA,Cold Calling|Statistics|Airflow|Deep Learning,4,273418.0,0.582,104.8,6.7,4,Elite,High Risk,4,0,1.189,17,4
464,2020,Business Analyst,Mid,Media,Australia,Statistics|Tableau|Machine Learning|COBOL|Data Entry|MLOps,6,147420.0,0.98,99.6,6.03,2,Mid,Critical Risk,6,0,0.991,3,2
465,2023,HR Analyst,Senior,Manufacturing,Brazil,SQL|Data Entry|Vector Databases|Excel (Basic),4,147346.0,0.98,132.3,5.4,3,Mid,Critical Risk,4,0,0.758,13,3
466,2025,Data Scientist,Principal,Manufacturing,Singapore,A/B Testing|SQL|Vector Databases|Basic SEO,4,320738.0,0.47,159.2,6.88,5,Elite,Moderate Risk,4,0,1.254,8,5
467,2022,Digital Marketer,Principal,Tech,Netherlands,Tableau|LLMs/GenAI|Airflow|Deep Learning,4,289479.0,0.05,116.2,8.7,5,Elite,Low Risk,4,1,1.132,10,5
468,2021,SQL Developer,Mid,Healthcare,India,Manual Testing|Crystal Reports|Basic SEO|Cloud (AWS/GCP)|Legacy VBA,5,111358.0,0.98,102.2,3.72,2,Low,Critical Risk,5,0,0.749,20,2
469,2025,Cloud Architect,Entry,Consulting,UAE,dbt|Excel (Basic)|LLMs/GenAI|Data Entry|Power BI|Python,6,189555.0,0.747,119.5,6.72,1,High,High Risk,6,0,1.731,4,1
470,2020,Financial Analyst,Principal,Healthcare,India,Excel (Basic)|Spark/PySpark|Machine Learning,3,241821.0,0.385,102.4,7.23,5,High,Moderate Risk,3,0,0.945,12,5
471,2020,Content Strategist,Lead,Energy,Brazil,MS Access|Legacy VBA|Basic SEO,3,109909.0,0.98,107.1,2.4,4,Low,Critical Risk,3,0,0.478,5,4
472,2019,SQL Developer,Lead,Energy,UAE,LLMs/GenAI|Airflow|Power BI|Manual Testing|Spark/PySpark|Excel (Basic),6,249525.0,0.721,104.6,6.82,4,Elite,High Risk,6,0,1.085,20,4
473,2020,Accountant,Principal,Manufacturing,India,Tableau|Manual Testing|Excel (Basic)|Deep Learning|Airflow,5,226297.0,0.98,113.4,6.26,5,High,Critical Risk,5,0,0.885,1,5
474,2020,Machine Learning Engineer,Entry,Retail,Netherlands,Basic SEO|Spark/PySpark|Manual Testing|Cloud (AWS/GCP)|LLMs/GenAI|Statistics,6,172048.0,0.631,116.4,6.78,1,Mid,High Risk,6,0,1.571,15,1
475,2023,Business Analyst,Principal,Media,UK,Statistics|Legacy VBA|Spark/PySpark,3,209045.0,0.775,138.9,6.03,5,High,Critical Risk,3,0,0.817,3,5
476,2023,Data Analyst,Lead,Media,Singapore,Copy-Paste Reporting|Machine Learning|Crystal Reports|A/B Testing|Power BI,5,193915.0,0.98,111.7,5.6,4,High,Critical Risk,5,0,0.843,6,4
477,2025,Digital Marketer,Lead,Education,Brazil,Power BI|Spark/PySpark|Kubernetes,3,200316.0,0.302,142.2,8.2,4,High,Moderate Risk,3,1,0.871,10,4
478,2020,Data Scientist,Senior,Energy,Netherlands,Kubernetes|dbt|Python|Crystal Reports|MS Access|COBOL,6,225939.0,0.98,104.9,5.17,3,High,Critical Risk,6,0,1.162,8,3
479,2019,Content Strategist,Entry,Government,Canada,Power BI|Vector Databases|Cloud (AWS/GCP)|Spark/PySpark|Data Entry,5,100414.0,0.738,98.8,7.22,1,Low,High Risk,5,0,0.917,5,1
480,2021,SEO Specialist,Lead,Energy,Australia,Legacy VBA|SQL|Cold Calling|dbt|Power BI,5,158580.0,0.98,118.7,5.56,4,Mid,Critical Risk,5,0,0.689,19,4
481,2023,Digital Marketer,Mid,Education,Netherlands,Kubernetes|Prompt Engineering|Excel (Basic)|Vector Databases|Crystal Reports|SQL,6,154564.0,0.915,138.3,6.55,2,Mid,Critical Risk,6,0,1.039,10,2
482,2025,Supply Chain Analyst,Entry,Retail,UAE,Cloud (AWS/GCP)|dbt|A/B Testing|SQL,4,107365.0,0.102,155.9,8.22,1,Low,Low Risk,4,1,0.98,23,1
483,2025,SEO Specialist,Principal,Tech,India,Data Entry|Python|COBOL|Deep Learning|Spark/PySpark|Statistics,6,287156.0,0.98,173.7,6.18,5,Elite,Critical Risk,6,0,1.123,19,5
484,2022,Data Scientist,Entry,Manufacturing,Canada,Deep Learning|Manual Testing|Machine Learning|MS Access|SQL,5,139587.0,0.724,142.4,6.22,1,Mid,High Risk,5,0,1.275,8,1
485,2022,Accountant,Principal,Manufacturing,Brazil,Cold Calling|Basic SEO|LLMs/GenAI,3,193736.0,0.98,128.0,4.93,5,High,Critical Risk,3,0,0.757,1,5
486,2022,Data Analyst,Mid,Media,Germany,Machine Learning|COBOL|Manual Testing|A/B Testing,4,113746.0,0.98,123.4,5.35,2,Low,Critical Risk,4,0,0.765,6,2
487,2020,Accountant,Mid,Tech,Australia,Data Entry|Python|LLMs/GenAI|Deep Learning,4,154048.0,0.855,111.3,7.4,2,Mid,Critical Risk,4,0,1.036,1,2
488,2025,Software Developer,Senior,Government,Singapore,A/B Testing|Python|MS Access|Crystal Reports,4,199441.0,0.98,111.9,5.28,3,High,Critical Risk,4,0,1.025,21,3
489,2019,SEO Specialist,Senior,Media,Brazil,Vector Databases|Basic SEO|Kubernetes|Airflow|Manual Testing,5,149847.0,0.98,108.3,6.26,3,Mid,Critical Risk,5,0,0.77,19,3
490,2022,Software Developer,Principal,Tech,Germany,Power BI|A/B Testing|Cloud (AWS/GCP)|R,4,303833.0,0.05,110.4,7.8,5,Elite,Low Risk,4,1,1.188,21,5
491,2021,Cloud Architect,Entry,Media,Germany,Crystal Reports|Tableau|SQL|Excel (Basic)|Statistics,5,140645.0,0.832,118.7,5.56,1,Mid,Critical Risk,5,0,1.284,4,1
492,2025,Cloud Architect,Lead,Consulting,Brazil,Statistics|Cloud (AWS/GCP)|Kubernetes,3,342313.0,0.05,119.3,8.17,4,Elite,Low Risk,3,1,1.488,4,4
493,2024,Excel Analyst,Mid,Education,Singapore,A/B Testing|R|Python|Crystal Reports|Basic SEO,5,109645.0,0.98,93.7,5.68,2,Low,Critical Risk,5,0,0.737,11,2
494,2021,Data Scientist,Lead,Education,UK,Statistics|MLOps|Vector Databases|dbt,4,294017.0,0.05,120.0,8.5,4,Elite,Low Risk,4,1,1.278,8,4
495,2021,BI Developer,Mid,Consulting,Canada,MS Access|Airflow|Copy-Paste Reporting|Kubernetes,4,133584.0,0.98,109.3,4.9,2,Low,Critical Risk,4,0,0.898,2,2
496,2020,Excel Analyst,Principal,Education,India,Cloud (AWS/GCP)|Deep Learning|Legacy VBA,3,204845.0,0.952,97.8,6.7,5,High,Critical Risk,3,0,0.801,11,5
497,2022,Accountant,Entry,Media,USA,Vector Databases|Manual Testing|MLOps|Statistics|Excel (Basic)|Kubernetes,6,110890.0,0.973,118.0,6.65,1,Low,Critical Risk,6,0,1.013,1,1
498,2025,Content Strategist,Senior,Government,Canada,Machine Learning|A/B Testing|COBOL|Power BI,4,180230.0,0.563,141.6,6.6,3,Mid,High Risk,4,0,0.927,5,3
499,2023,Business Analyst,Principal,Education,Singapore,Tableau|Cloud (AWS/GCP)|Crystal Reports|A/B Testing,4,245310.0,0.74,136.7,6.58,5,Elite,High Risk,4,0,0.959,3,5
500,2024,Data Analyst,Entry,Retail,Singapore,MLOps|Vector Databases|Manual Testing,3,106448.0,0.576,156.1,6.97,1,Low,High Risk,3,0,0.972,6,1
501,2020,SEO Specialist,Senior,Retail,Germany,Manual Testing|MLOps|Vector Databases|LLMs/GenAI|Statistics|Power BI,6,213094.0,0.378,100.0,7.65,3,High,Moderate Risk,6,0,1.096,19,3
502,2024,DevOps Engineer,Senior,Government,Germany,LLMs/GenAI|Excel (Basic)|Spark/PySpark|Basic SEO|Legacy VBA|Airflow,6,267620.0,0.98,148.4,5.88,3,Elite,Critical Risk,6,0,1.376,9,3
503,2024,Statistician,Mid,Media,Singapore,dbt|Spark/PySpark|COBOL|MS Access|Basic SEO|Statistics,6,162669.0,0.98,150.7,5.17,2,Mid,Critical Risk,6,0,1.094,22,2
504,2020,QA Engineer,Lead,Healthcare,Netherlands,COBOL|Statistics|Prompt Engineering|Kubernetes|R,5,234578.0,0.571,104.6,6.5,4,High,High Risk,5,0,1.02,18,4
505,2019,Software Developer,Entry,Healthcare,USA,Basic SEO|Kubernetes|Statistics|Data Entry,4,98790.0,0.98,99.6,5.0,1,Low,Critical Risk,4,0,0.902,21,1
506,2024,Cloud Architect,Senior,Education,Australia,Vector Databases|Python|Power BI|Cloud (AWS/GCP)|Copy-Paste Reporting,5,307978.0,0.67,147.1,7.22,3,Elite,High Risk,5,0,1.584,4,3
507,2023,SQL Developer,Principal,Energy,Netherlands,Cold Calling|Prompt Engineering|Vector Databases|MLOps,4,281979.0,0.676,121.0,7.35,5,Elite,High Risk,4,0,1.102,20,5
508,2022,Product Manager,Lead,Finance,Singapore,Tableau|Data Entry|Spark/PySpark|Copy-Paste Reporting|LLMs/GenAI,5,293671.0,0.98,120.4,5.72,4,Elite,Critical Risk,5,0,1.277,17,4
509,2021,QA Engineer,Principal,Energy,Singapore,Deep Learning|LLMs/GenAI|MLOps,3,308098.0,0.05,108.0,9.3,5,Elite,Low Risk,3,1,1.205,18,5
510,2021,HR Analyst,Senior,Manufacturing,Brazil,Kubernetes|Tableau|Cold Calling|Vector Databases|MS Access|Excel (Basic),6,168103.0,0.98,108.8,5.42,3,Mid,Critical Risk,6,0,0.864,13,3
511,2022,QA Engineer,Mid,Healthcare,USA,MS Access|Airflow|Legacy VBA|Kubernetes,4,125941.0,0.98,120.8,5.15,2,Low,Critical Risk,4,0,0.847,18,2
512,2024,Product Manager,Entry,Retail,India,Cloud (AWS/GCP)|Copy-Paste Reporting|Deep Learning|Statistics|R|Machine Learning,6,174761.0,0.551,103.3,7.08,1,Mid,High Risk,6,0,1.596,17,1
513,2022,Content Strategist,Entry,Finance,Germany,Deep Learning|Data Entry|SQL|Prompt Engineering,4,98511.0,0.769,107.0,6.85,1,Low,Critical Risk,4,0,0.9,5,1
514,2024,AI Engineer,Lead,Healthcare,India,Python|Machine Learning|Legacy VBA|Vector Databases,4,352698.0,0.244,161.9,7.45,4,Elite,Low Risk,4,1,1.533,0,4
515,2021,Digital Marketer,Lead,Media,Germany,Spark/PySpark|Crystal Reports|R|LLMs/GenAI|Excel (Basic)|Manual Testing,6,212557.0,0.98,110.1,5.52,4,High,Critical Risk,6,0,0.924,10,4
516,2024,HR Analyst,Principal,Government,Netherlands,Vector Databases|Statistics|R|Airflow|COBOL,5,247368.0,0.565,116.0,6.5,5,Elite,High Risk,5,0,0.967,13,5
517,2021,DevOps Engineer,Lead,Manufacturing,India,Python|A/B Testing|Basic SEO|Cold Calling|Copy-Paste Reporting,5,243886.0,0.98,106.2,4.62,4,High,Critical Risk,5,0,1.06,9,4
518,2021,Digital Marketer,Principal,Tech,UAE,Prompt Engineering|Python|Cold Calling|Power BI|Copy-Paste Reporting|Manual Testing,6,214441.0,0.98,104.5,5.35,5,High,Critical Risk,6,0,0.838,10,5
519,2019,SEO Specialist,Senior,Retail,Singapore,SQL|Airflow|LLMs/GenAI|Crystal Reports|MS Access|Data Entry,6,146417.0,0.98,104.6,5.18,3,Mid,Critical Risk,6,0,0.753,19,3
520,2022,Excel Analyst,Senior,Finance,Singapore,A/B Testing|Cold Calling|COBOL|Manual Testing,4,100796.0,0.98,113.9,3.47,3,Low,Critical Risk,4,0,0.518,11,3
521,2024,Statistician,Senior,Media,Germany,dbt|Deep Learning|LLMs/GenAI|Spark/PySpark|Prompt Engineering|Cloud (AWS/GCP),6,330418.0,0.05,129.7,9.07,3,Elite,Low Risk,6,1,1.699,22,3
522,2023,IT Support Specialist,Senior,Energy,UAE,MLOps|Python|Spark/PySpark|Machine Learning,4,207480.0,0.062,125.4,9.1,3,High,Low Risk,4,1,1.067,14,3
523,2019,BI Developer,Entry,Manufacturing,Germany,Crystal Reports|Tableau|MS Access|Python,4,85834.0,0.98,92.2,5.2,1,Low,Critical Risk,4,0,0.784,2,1
524,2020,Data Analyst,Lead,Retail,Australia,Prompt Engineering|COBOL|Basic SEO|Statistics|Vector Databases|Tableau,6,219779.0,0.899,102.7,6.27,4,High,Critical Risk,6,0,0.955,6,4
525,2019,Cloud Architect,Entry,Healthcare,USA,Cold Calling|SQL|Deep Learning|R|Statistics,5,146967.0,0.409,102.3,6.5,1,Mid,Moderate Risk,5,0,1.342,4,1
526,2025,Statistician,Lead,Tech,UK,SQL|Cold Calling|Tableau|Airflow,4,216395.0,0.752,162.1,6.35,4,High,Critical Risk,4,0,0.941,22,4
527,2019,SQL Developer,Lead,Finance,Netherlands,Statistics|SQL|Legacy VBA|Prompt Engineering,4,180002.0,0.706,101.0,6.55,4,Mid,High Risk,4,0,0.783,20,4
528,2020,HR Analyst,Entry,Media,Netherlands,Kubernetes|Statistics|Data Entry,3,78005.0,0.98,105.3,5.67,1,Low,Critical Risk,3,0,0.712,13,1
529,2021,Business Analyst,Mid,Finance,Canada,MLOps|Python|LLMs/GenAI|Kubernetes|Excel (Basic)|Cloud (AWS/GCP),6,201644.0,0.05,112.8,8.1,2,High,Low Risk,6,1,1.356,3,2
530,2020,Data Analyst,Entry,Energy,UAE,Vector Databases|Cold Calling|Deep Learning|Airflow,4,102714.0,0.58,104.0,7.12,1,Low,High Risk,4,0,0.938,6,1
531,2019,Supply Chain Analyst,Principal,Education,USA,Vector Databases|Data Entry|Spark/PySpark,3,203439.0,0.722,102.2,6.43,5,High,High Risk,3,0,0.795,23,5
532,2025,Machine Learning Engineer,Mid,Consulting,Canada,R|COBOL|Data Entry|Cold Calling|Vector Databases,5,196569.0,0.98,155.3,4.06,2,High,Critical Risk,5,0,1.322,15,2
533,2022,Product Manager,Mid,Tech,Singapore,MS Access|Spark/PySpark|Kubernetes|Machine Learning|Statistics,5,208420.0,0.337,127.3,7.18,2,High,Moderate Risk,5,1,1.401,17,2
534,2023,AI Engineer,Principal,Consulting,Canada,R|Vector Databases|MLOps|MS Access,4,390379.0,0.275,133.6,6.7,5,Elite,Moderate Risk,4,0,1.526,0,5
535,2025,Accountant,Principal,Healthcare,UK,Tableau|Prompt Engineering|Basic SEO|Kubernetes,4,243100.0,0.926,142.1,7.0,5,High,Critical Risk,4,0,0.95,1,5
536,2022,Data Analyst,Principal,Government,India,Manual Testing|Copy-Paste Reporting|Vector Databases,3,179058.0,0.98,137.4,4.3,5,Mid,Critical Risk,3,0,0.7,6,5
537,2020,Cloud Architect,Entry,Media,Singapore,A/B Testing|Legacy VBA|Statistics|Cold Calling,4,128074.0,0.98,106.1,4.82,1,Low,Critical Risk,4,0,1.169,4,1
538,2023,AI Engineer,Senior,Government,Australia,Cloud (AWS/GCP)|A/B Testing|Legacy VBA,3,250299.0,0.576,110.3,6.3,3,Elite,High Risk,3,0,1.287,0,3
539,2025,Data Engineer,Mid,Tech,Canada,Statistics|dbt|Cloud (AWS/GCP),3,192297.0,0.106,115.4,8.3,2,High,Low Risk,3,1,1.293,7,2
540,2024,Software Developer,Lead,Media,Brazil,Machine Learning|Vector Databases|Airflow|Manual Testing|Crystal Reports,5,288319.0,0.882,119.3,6.3,4,Elite,Critical Risk,5,0,1.253,21,4
541,2020,HR Analyst,Lead,Finance,UAE,Vector Databases|R|MS Access,3,149908.0,0.722,116.0,5.93,4,Mid,High Risk,3,0,0.652,13,4
542,2022,DevOps Engineer,Entry,Energy,Germany,MS Access|Deep Learning|Basic SEO,3,113968.0,0.98,120.5,4.77,1,Low,Critical Risk,3,0,1.041,9,1
543,2020,Content Strategist,Entry,Finance,Canada,dbt|Copy-Paste Reporting|A/B Testing|Legacy VBA|Airflow|Excel (Basic),6,79635.0,0.98,108.6,5.2,1,Low,Critical Risk,6,0,0.727,5,1
544,2020,SEO Specialist,Principal,Government,UK,Legacy VBA|Tableau|Crystal Reports|Power BI|Cloud (AWS/GCP),5,191531.0,0.98,99.4,5.64,5,High,Critical Risk,5,0,0.749,19,5
545,2020,SEO Specialist,Lead,Media,Australia,R|Manual Testing|Tableau|Vector Databases,4,154862.0,0.846,109.4,6.5,4,Mid,Critical Risk,4,0,0.673,19,4
546,2023,Cloud Architect,Senior,Government,Singapore,Manual Testing|Airflow|Excel (Basic)|R|dbt,5,253951.0,0.721,125.1,5.92,3,Elite,High Risk,5,0,1.306,4,3
547,2023,Product Manager,Senior,Education,UAE,SQL|Python|MS Access|Machine Learning|Prompt Engineering|Manual Testing,6,280582.0,0.578,108.8,6.75,3,Elite,High Risk,6,0,1.443,17,3
548,2020,AI Engineer,Entry,Manufacturing,Canada,Copy-Paste Reporting|MLOps|Python|Cold Calling,4,150817.0,0.98,112.5,5.3,1,Mid,Critical Risk,4,0,1.377,0,1
549,2024,Statistician,Principal,Media,Netherlands,Cloud (AWS/GCP)|Machine Learning|Tableau|Vector Databases,4,335900.0,0.05,116.9,8.8,5,Elite,Low Risk,4,1,1.313,22,5
550,2021,DevOps Engineer,Principal,Retail,Canada,COBOL|Prompt Engineering|Deep Learning|Excel (Basic)|SQL,5,339458.0,0.556,128.3,6.12,5,Elite,High Risk,5,0,1.327,9,5
551,2020,Product Manager,Entry,Education,UAE,Statistics|Basic SEO|Crystal Reports|Excel (Basic),4,102835.0,0.98,111.2,3.92,1,Low,Critical Risk,4,0,0.939,17,1
552,2019,Accountant,Senior,Tech,Brazil,Deep Learning|Cold Calling|Machine Learning|Basic SEO|MLOps|Vector Databases,6,217284.0,0.98,98.5,6.95,3,High,Critical Risk,6,0,1.117,1,3
553,2022,QA Engineer,Entry,Retail,Brazil,Data Entry|Cold Calling|SQL,3,73404.0,0.98,87.6,3.67,1,Low,Critical Risk,3,0,0.67,18,1
554,2023,Business Analyst,Senior,Media,Brazil,MLOps|A/B Testing|Crystal Reports|Airflow,4,186594.0,0.64,113.5,6.75,3,High,High Risk,4,0,0.959,3,3
555,2024,Product Manager,Lead,Consulting,Brazil,Airflow|Power BI|Prompt Engineering,3,266646.0,0.05,155.8,8.47,4,Elite,Low Risk,3,1,1.159,17,4
556,2020,Data Engineer,Senior,Finance,UAE,R|SQL|Kubernetes,3,205090.0,0.05,100.3,7.37,3,High,Low Risk,3,1,1.055,7,3
557,2023,QA Engineer,Mid,Healthcare,UAE,Statistics|SQL|Data Entry|Excel (Basic),4,117503.0,0.98,94.6,4.97,2,Low,Critical Risk,4,0,0.79,18,2
558,2023,Product Manager,Principal,Retail,Canada,Kubernetes|Cold Calling|Power BI,3,281305.0,0.748,116.3,5.97,5,Elite,High Risk,3,0,1.1,17,5
559,2023,Data Scientist,Entry,Government,Singapore,Vector Databases|dbt|MLOps|Manual Testing|Data Entry,5,149976.0,0.98,115.1,6.18,1,Mid,Critical Risk,5,0,1.369,8,1
560,2021,BI Developer,Senior,Energy,UAE,Tableau|Machine Learning|Basic SEO|Airflow,4,191881.0,0.68,105.8,7.1,3,High,High Risk,4,0,0.987,2,3
561,2021,Data Engineer,Entry,Finance,USA,Manual Testing|Spark/PySpark|Copy-Paste Reporting|Basic SEO,4,114237.0,0.98,115.9,3.88,1,Low,Critical Risk,4,0,1.043,7,1
562,2019,Cloud Architect,Entry,Manufacturing,UAE,Python|MLOps|dbt|MS Access|R|COBOL,6,157621.0,0.555,105.9,6.1,1,Mid,High Risk,6,0,1.439,4,1
563,2023,Statistician,Principal,Consulting,Brazil,Crystal Reports|Legacy VBA|Python|SQL,4,229336.0,0.98,132.7,5.12,5,High,Critical Risk,4,0,0.897,22,5
564,2024,Content Strategist,Entry,Manufacturing,India,Prompt Engineering|dbt|COBOL,3,83924.0,0.633,142.5,6.33,1,Low,High Risk,3,0,0.766,5,1
565,2021,Business Analyst,Lead,Tech,UK,Legacy VBA|Kubernetes|Copy-Paste Reporting|COBOL|Vector Databases|Cloud (AWS/GCP),6,234647.0,0.98,105.0,5.07,4,High,Critical Risk,6,0,1.02,3,4
566,2025,HR Analyst,Lead,Retail,Singapore,MLOps|Statistics|Copy-Paste Reporting,3,186162.0,0.98,144.4,5.8,4,High,Critical Risk,3,0,0.809,13,4
567,2019,BI Developer,Mid,Media,UAE,Machine Learning|Airflow|A/B Testing,3,139569.0,0.05,101.8,8.57,2,Mid,Low Risk,3,1,0.938,2,2
568,2022,Software Developer,Mid,Tech,Australia,Vector Databases|Data Entry|Prompt Engineering|Airflow|A/B Testing,5,190570.0,0.584,119.8,7.22,2,High,High Risk,5,0,1.281,21,2
569,2019,HR Analyst,Senior,Government,USA,Airflow|Spark/PySpark|MLOps|SQL|Legacy VBA,5,171699.0,0.643,103.4,7.1,3,Mid,High Risk,5,0,0.883,13,3
570,2024,Software Developer,Principal,Energy,Canada,Airflow|Excel (Basic)|Spark/PySpark|Power BI|Prompt Engineering|Manual Testing,6,357799.0,0.681,121.6,6.73,5,Elite,High Risk,6,0,1.399,21,5
571,2023,Data Engineer,Mid,Healthcare,Brazil,Copy-Paste Reporting|Spark/PySpark|Prompt Engineering|Crystal Reports,4,183185.0,0.98,125.3,5.2,2,Mid,Critical Risk,4,0,1.232,7,2
572,2023,Data Engineer,Lead,Healthcare,Brazil,MLOps|Deep Learning|R|MS Access,4,311137.0,0.344,112.3,6.7,4,Elite,Moderate Risk,4,0,1.353,7,4
573,2021,Data Engineer,Entry,Education,Singapore,Prompt Engineering|Tableau|MS Access|Data Entry|COBOL|Kubernetes,6,138291.0,0.98,110.6,4.98,1,Mid,Critical Risk,6,0,1.263,7,1
